set_id,omega,alpha,beta,gamma,lambda
1,3.77463066415249e-07,0.118455311014841,0.797186751930856,0,0.0575632628545226
2,8.69593882987304e-07,0.0544078453195027,0.847468457260882,0,0.0609808819030882
3,1.37093696146328e-07,0.0343724615804938,0.756834664705838,0,0.0346913547832175
4,1.85146429101426e-07,0.145828643043172,0.765917930837737,0,0.0512904634224065
5,1.86536549219007e-07,0.0924160790835595,0.815474456444655,0,0.0110453015010283
6,8.89881041015925e-07,0.0331953628367838,0.84866423472183,0,0.120408448974374
7,7.76755391571908e-07,0.0844263151247462,0.830311268548702,0,0.0870815279020394
8,6.63125288943333e-07,0.0682573788520395,0.755190809183281,0,0.0905118440940954
9,1.77054939653251e-07,0.119381065737266,0.774574978519572,0,0.108233326813419
10,3.25106766129455e-07,0.0852937950934386,0.809605909488609,0,0.142583610230516
11,6.50675586796576e-07,0.100806604827062,0.769044251542912,0,0.0375038584833752
12,1.77206373387763e-07,0.140438591088659,0.784449285882526,0,0.132660248259812
13,9.58356434603174e-07,0.0429652527814085,0.799705747563985,0,0.089664263245613
14,2.86532126514579e-07,0.13529443682164,0.845926453779016,0,0.0143259918858318
15,8.14964623939337e-07,0.0750669997946868,0.774643418560664,0,0.122537109068917
16,9.89706051677814e-07,0.0459895692889855,0.820997575478224,0,0.0930681689335956
17,3.21050208586477e-07,0.0601600293964459,0.764702561479789,0,0.113088196492354
18,1.12644403740362e-07,0.105219245794073,0.757728796768044,0,0.115920781899693
19,1.90555617867851e-07,0.0764403300967366,0.793430930028876,0,0.143006443318645
20,3.84933626320825e-07,0.104977995265467,0.819768235797574,0,0.0563425149462588
21,7.23561724033065e-07,0.0939604641927936,0.790280522027541,0,0.015122357986416
22,9.38223486400504e-07,0.0725616458366226,0.801350989566443,0,0.0595405278963593
23,5.82552903235348e-07,0.0433161644847024,0.784047017447857,0,0.108262821155853
24,1.24083699869788e-07,0.142664808581938,0.762598763236906,0,0.0558245015053932
25,2.49757074815127e-07,0.0377589423693888,0.837006304958579,0,0.102146709424111
