set_id,omega,alpha,beta,gamma,lambda
1,3.77463066415249e-07,1.31268296652226e-06,0.797186751930856,83.9737591818018,0.571020862886068
2,3.85479005625375e-07,1.35468376024785e-06,0.786414915645063,54.1215217940364,0.434817802257848
3,1.61511982352546e-07,1.18703703217483e-06,0.759460714344603,147.020459316551,0.431835861675473
4,3.65438693429756e-07,1.17019186148443e-06,0.808868627916828,115.474456444655,0.401493287858612
5,8.89881041015925e-07,1.18479304425518e-06,0.84866423472183,128.863177838839,0.550390087015979
6,5.78454882944797e-07,1.31865366395227e-06,0.805058234215742,112.569476549259,0.483224826931485
7,1.46717282649524e-07,1.27076776614114e-06,0.758561659961472,128.129332669475,0.449149957039144
8,7.31499958086268e-07,1.20252491209687e-06,0.803781282209599,109.605909488609,0.589405157472165
9,6.50675586796576e-07,1.28620990724059e-06,0.769044251542912,69.6456132024109,0.417156971863947
10,9.38533799855662e-07,1.22234350035331e-06,0.837614463042723,118.23013974619,0.574723164885044
