set_id,omega,alpha,beta,gamma,lambda
1,2.75932775091633e-07,1.17745169779878e-06,0.843154897410923,0.305389786351262,0.432160196409841
2,6.06695730928239e-07,1.2396029070078e-06,0.831691187373968,0.269235345068511,0.502653990104649
3,3.71434734650071e-07,1.30781867505365e-06,0.774661279781183,0.282359285691829,0.429012787871256
4,7.23891923080954e-07,1.34698947714978e-06,0.769182885674921,0.362428225157596,0.473370528453378
5,9.3329245058835e-07,1.18895015066537e-06,0.751090496509821,0.394418188914053,0.57467424280188
6,8.82897377703736e-07,1.22091632546059e-06,0.780918629246966,0.263590324723293,0.547048930069485
7,8.54611208752789e-07,1.35704493359238e-06,0.779534789706639,0.362117937105758,0.57328916739405
8,4.70920155656124e-07,1.31641902447291e-06,0.752832077529373,0.271985081899182,0.409716951620125
9,4.32193970020301e-07,1.25578148538472e-06,0.757322256050688,0.417681899153451,0.404453999790211
10,1.53834204248435e-07,1.21847453951544e-06,0.793736282273703,0.300523088522824,0.55102937174577
