set_id,omega,alpha,beta,gamma,lambda
1,3.43702638214432e-07,1.30137557847571e-06,0.796391681912507,123.187802143557,0.403960584983345
2,3.53008084601511e-07,1.28445981156847e-06,0.791855526658587,134.544283122459,0.574350678281071
3,4.90593445831405e-07,1.25275668302328e-06,0.757486234764445,126.043412181909,0.451697103444284
4,5.65462293596195e-07,1.31087953679844e-06,0.840720357812891,95.0338441479484,0.563551517392863
5,9.69280547730099e-07,1.20795977444258e-06,0.812359513010715,54.309314467625,0.482556263049938
6,5.66776551103584e-07,1.20700014208188e-06,0.808669160842854,81.0034056453668,0.548751724937655
7,6.32894371765543e-07,1.32112597641202e-06,0.753025305779169,138.937360040425,0.5402895390389
8,4.45740437896005e-07,1.17824102798254e-06,0.801123534318553,53.134419879621,0.417260363698341
9,6.23442031413881e-07,1.29330100537877e-06,0.818385915618252,60.0134307706188,0.590489241499755
10,5.39313398516353e-07,1.34310230632241e-06,0.790787906201948,90.5618516594974,0.517489443587125
11,8.46185663985694e-07,1.33252689593665e-06,0.809615336998876,106.139664719248,0.588212955660319
12,8.12441131868681e-07,1.33702262698433e-06,0.791207599642599,134.139601482974,0.574972223475571
13,4.83605694133282e-07,1.24510741078573e-06,0.76959158465797,80.7900745911832,0.503792442128369
14,9.49927828099637e-07,1.33696350325492e-06,0.813518294963239,96.6463141671357,0.597153555884238
15,4.40356064945017e-07,1.3374045969593e-06,0.792261267867103,123.33640609289,0.575825544953424
16,5.53101955801203e-07,1.34348580737745e-06,0.835908093647589,123.383739500105,0.557980759910835
17,6.49198250210422e-07,1.19645793616908e-06,0.849414843114235,140.65293382343,0.531304553542727
18,7.98101097104701e-07,1.25356130840786e-06,0.757504155317842,110.612878454962,0.53459326374351
19,5.42926425987685e-07,1.16102662785311e-06,0.765396393464033,85.5994823411503,0.441999758920035
20,3.70367039432181e-07,1.3214949685102e-06,0.763478075563137,83.5071210197381,0.492935812459352
21,1.80402318632396e-07,1.30378474995158e-06,0.804444314125095,138.789011256814,0.581010456935331
22,9.71702508504881e-07,1.24960016101442e-06,0.794160941000769,104.990250971288,0.439602789214995
23,1.01068431313813e-07,1.18800456371928e-06,0.774947258891436,113.840366968405,0.535933480250465
24,9.81901699126703e-07,1.31211739098324e-06,0.819540679223372,56.3250758498813,0.439275517262549
25,8.21295216260358e-07,1.23988637440331e-06,0.764806231996289,72.2617914739133,0.570370292438783
