set_id,omega,alpha,beta,gamma,lambda
1,2.75932775091633e-07,0.0283011318658508,0.843154897410923,0,0.0410182803567069
2,2.44720883844284e-07,0.0888193359221705,0.792668050956093,0,0.124367662323555
3,1.6924724224664e-07,0.0818577930732543,0.780159414961119,0,0.115212450035764
4,3.21951518030649e-07,0.0281211999874243,0.764506393935628,0,0.107049854701482
5,9.44240616356208e-07,0.0368560399448898,0.794971290063038,0,0.0613593699173647
6,9.3329245058835e-07,0.0359667671102496,0.751090496509821,0,0.0908741857918697
7,8.86034092608461e-07,0.131784036531692,0.783769678790759,0,0.053286080945752
8,3.6581310735975e-07,0.0727860447792243,0.836644583697025,0,0.0676986908798415
9,8.13224390598186e-07,0.0139649085411222,0.758794032759673,0,0.0168018661340875
10,4.32193970020301e-07,0.080520990256482,0.757322256050688,0,0.103901863525932
